20220923	18:15:38	9dc0c5ad-82a4-4418-8e78-9f0a194b614b	POST	undefined	/auth
20220923	18:16:06	d80c9a6c-17d9-468f-8296-83721848c1d3	GET	undefined	/logout
20220923	18:19:56	b456bd80-a2a0-4075-b112-e1089e01a56a	GET	undefined	/logout
20220923	18:20:40	719cb48e-2a3b-4a4e-8556-2d911fb0b808	GET	undefined	/logout
20220923	18:20:41	b0bc366e-b8e5-47ac-af8f-3d81f7590be0	GET	undefined	/logout
20220923	18:23:07	8b167cb7-9b45-4ac7-a5cd-016be2c19a03	POST	undefined	/auth
20220923	18:23:48	6cd0fdd4-6443-4bec-aff4-720c9f55d965	GET	undefined	/logout
20220923	18:24:14	f4f34bb7-3176-4428-9877-36927cb6cb1d	GET	undefined	/logout
20220923	18:26:08	939507ad-0d86-4ffb-a37d-91a7e0eb7136	GET	undefined	/logout
20220923	18:26:47	c697c437-0a19-45ad-afc8-8488d105f753	POST	undefined	/auth
20220923	18:27:06	4fc614b8-c0a1-4106-bdec-e5049285bdc3	GET	undefined	/logout
20220923	18:27:13	efbcc966-2503-477b-8c14-002cb9484e89	GET	undefined	/logout
20220923	21:41:41	fa87c305-4177-496f-930d-a4ea61a30cb6	POST	undefined	/auth
20220923	21:41:46	72209d94-6ce2-4504-867a-53c8e3f19a59	GET	undefined	/logout
20220923	21:45:19	4caefb9b-78b0-4bc1-9124-70fe9e42e70f	GET	undefined	/refresh
20220923	21:48:48	d78ad8cd-8703-4f22-8602-dcb698154108	GET	undefined	/refresh
20220923	21:49:17	500e21f4-fbca-46f5-a442-1bb07b846115	GET	undefined	/refresh
20220923	21:49:21	3fa94782-a659-4f67-bf65-d514b9cd9cef	POST	undefined	/auth
20220923	22:37:02	baeae39f-0bb6-4826-bb0c-4affbbcc8a93	POST	undefined	/auth
20220924	00:23:01	faeac8f2-cb1b-41a2-add5-58b5aac2bc94	POST	undefined	/auth
20220924	09:59:47	52f70ec5-4597-4ff9-8871-a4ce3e2c4240	POST	undefined	/auth
20220924	10:06:03	6ca7ed85-f5ab-429a-9fc6-488500353c55	POST	undefined	/auth
20220924	10:07:38	072930c8-58bb-4560-a38c-58dceb843766	GET	undefined	/employees
20220924	10:08:33	44fc3ec5-ec91-4ab4-ad13-63fb0cb9e1bf	POST	undefined	/auth
20220924	10:08:52	6dad62f2-1a86-419b-9ab4-9beaa06b92af	POST	undefined	/auth
20220924	10:09:20	8b81c767-da52-4f8f-8325-f6a9a00b4e28	GET	undefined	/employees
20220924	10:09:24	4ba156cc-6cc0-4a6e-9e83-027918c43528	POST	undefined	/employees
20220924	10:09:33	b59071d8-56f7-4d80-926d-c880e8a118c8	PUT	undefined	/employees
20220924	10:13:06	cf9a252a-4388-41ce-b534-26e4ae0d54df	POST	undefined	/employees
20220924	10:13:24	3cfad174-c565-4341-98f8-64e278bde891	POST	undefined	/auth
20220924	10:13:40	39959f52-c6af-4deb-8849-6f75353150fe	GET	undefined	/employees
20220924	10:14:01	026c03b0-660a-4d14-8ba7-d8be227cd9ec	POST	undefined	/employees
20220924	10:14:36	088b93fd-7c65-4415-9bcc-c669c3806d9f	POST	undefined	/employees
20220924	12:45:15	329a530c-547e-4013-b932-40a22b12a56a	POST	undefined	/auth
20220924	12:45:29	a9b6139e-726a-4969-a70a-72a2a3454a57	GET	undefined	/employees
20220924	12:45:38	65e360d2-8ce9-4827-bbac-c4b3764e298c	POST	undefined	/employees
20220924	12:53:15	0573a30f-0bb9-4187-bd06-9ca522d3892b	POST	undefined	/auth
20220924	12:53:28	1583907a-7265-41f9-973e-a5116077671f	GET	undefined	/employees
20220924	12:53:42	22b789c3-6a22-4a91-b2ef-9dc8922c1b61	POST	undefined	/employees
20220924	13:01:42	770c61f0-e91b-4eea-8ae2-ef3d1e6c7ca9	POST	undefined	/auth
20220924	13:02:03	32f8b669-7587-4a3f-99c6-788525931ef1	POST	undefined	/employees
20220924	13:02:19	91f54075-772b-449b-963b-2ccb2ecbf254	DELETE	undefined	/employees
20220924	13:02:26	231fced6-f4db-49e3-bfd4-6ac03f2c91bb	POST	undefined	/auth
20220924	13:02:44	d97a6402-713b-4a4d-9341-1402c7aa7a0f	DELETE	undefined	/employees
20220924	13:05:04	1078f641-be4d-4465-ada7-de7c219aeb2f	POST	undefined	/auth
20220924	13:05:18	6e6c2b2b-9870-4df7-8fcd-b2db7924d1f3	POST	undefined	/employees
20220924	13:05:25	e017b83e-6677-4d4b-a3ba-fec89c47daf4	DELETE	undefined	/employees
20220924	13:05:40	2ee320fb-ca85-43cd-bfa0-98b0ec499088	POST	undefined	/auth
20220924	13:05:56	8dc3f9a8-fc6a-4ac1-a5bc-f4b29c324279	DELETE	undefined	/employees
20220924	13:06:12	110c2f77-595b-4b22-98ea-90e66603c3e1	POST	undefined	/auth
20220924	13:06:22	627c9f9b-6bf7-49ca-8bfd-7aaf5a3e065d	DELETE	undefined	/employees
20220924	18:59:07	05dfc03d-9058-47e0-80b9-74464f2fdb2c	POST	undefined	/register
20220924	19:02:10	888636e7-50e3-49f2-a50f-313313f9e06a	POST	undefined	/register
20220924	19:15:26	512445d9-1e91-4278-a506-0363b48ee1a1	POST	undefined	/register
20220924	19:17:48	b8ee3690-e7a0-43e3-972c-d42d7e626c47	POST	undefined	/register
20220924	20:19:26	81578236-926c-440e-a818-f3b5c83a3776	POST	undefined	/register
